Year,Month,Sales
2021,1,7306.68
2021,2,5644.48
2021,3,6712.44
2021,4,7882.06
2021,5,6896.4
2021,6,7135.84
2021,7,6201.96
2021,8,7071.67
2021,9,7768.28
2021,10,6982.18
2021,11,7281.56
2021,12,7239.44
