Year,Month,Sales
2019,1,6637.86
2019,2,4456.4
2019,3,4999.97
2019,4,4456.79
2019,5,5612.82
2019,6,5113.07
2019,7,5282.7
2019,8,5089.82
2019,9,4912.24
2019,10,6814.52
2019,11,5437.68
2019,12,4755.05
