Year,Month,Sales
2017,1,5222.46
2017,2,4884.91
2017,3,4806.33
2017,4,3594.81
2017,5,5105.48
2017,6,4665.36
2017,7,4180.3
2017,8,5395.92
2017,9,4593.44
2017,10,5122.08
2017,11,5504.8
2017,12,5005.44
