Year,Mes,Año Actual
2024,1,7170.68
2024,2,5985.78
2024,3,5440.48
2024,4,6920.96
2024,5,7739.48
2024,6,6093.58
2024,7,6002.23
2024,8,6492.3
2024,9,6678.08
2024,10,6686.13
2024,11,6106.85
2024,12,11698.41
