Year,Month,Sales
2020,1,7448.03
2020,2,4478.53
2020,3,4941.49
2020,4,3756.18
2020,5,4452.48
2020,6,6204.17
2020,7,6111.48
2020,8,5938.72
2020,9,7001.28
2020,10,7485.97
2020,11,6585.56
2020,12,7080.44
